Label,Fidelity,Actions,Verbose Sequence
GHZ,0.500000039492406,"[10.0, 6.0, 5.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","2-3, 1-2, 1-0"
GHZ + noise,1.0000004363474564,"[10.0, 6.0, 5.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","2-3, 1-2, 1-0"
GHZ + noise,0.9999855043603141,"[10.0, 6.0, 5.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","2-3, 1-2, 1-0"
GHZ + noise,1.000040228301384,"[10.0, 6.0, 5.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","2-3, 1-2, 1-0"
GHZ + noise,1.000005381885628,"[10.0, 6.0, 5.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","2-3, 1-2, 1-0"
GHZ + noise,1.0000243454396598,"[10.0, 6.0, 5.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","2-3, 1-2, 1-0"
W,0.7497271511222972,"[9.0, 9.0, 5.0, 9.0, 13.0, 0.0, 0.0, 0.0, 0.0, 0.0]","2-1, 2-1, 1-0, 2-1, 3-2"
W + noise,0.9330214197727099,"[9.0, 9.0, 5.0, 9.0, 13.0, 0.0, 0.0, 0.0, 0.0, 0.0]","2-1, 2-1, 1-0, 2-1, 3-2"
W + noise,0.9330211237273025,"[9.0, 9.0, 5.0, 9.0, 13.0, 0.0, 0.0, 0.0, 0.0, 0.0]","2-1, 2-1, 1-0, 2-1, 3-2"
W + noise,0.9330333740775342,"[9.0, 9.0, 5.0, 9.0, 13.0, 0.0, 0.0, 0.0, 0.0, 0.0]","2-1, 2-1, 1-0, 2-1, 3-2"
W + noise,0.932977241473909,"[9.0, 9.0, 5.0, 9.0, 13.0, 0.0, 0.0, 0.0, 0.0, 0.0]","2-1, 2-1, 1-0, 2-1, 3-2"
W + noise,0.9330048207512355,"[9.0, 9.0, 5.0, 9.0, 13.0, 0.0, 0.0, 0.0, 0.0, 0.0]","2-1, 2-1, 1-0, 2-1, 3-2"
