Label,Fidelity,Actions,Verbose Sequence
GHZ,0.9999999999993533,"[10.0, 5.0, 6.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","2-3, 1-0, 1-2"
GHZ + noise,1.0000119454275072,"[10.0, 5.0, 6.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","2-3, 1-0, 1-2"
GHZ + noise,0.9999996175957242,"[10.0, 5.0, 6.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","2-3, 1-0, 1-2"
GHZ + noise,0.9999978359025823,"[10.0, 5.0, 6.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","2-3, 1-0, 1-2"
GHZ + noise,0.9999631442553341,"[10.0, 5.0, 6.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","2-3, 1-0, 1-2"
GHZ + noise,1.0000312998993026,"[10.0, 5.0, 6.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","2-3, 1-0, 1-2"
W,0.9999999999985419,"[13.0, 9.0, 10.0, 5.0, 9.0, 9.0, 13.0, 0.0, 0.0, 0.0]","3-2, 2-1, 2-3, 1-0, 2-1, 2-1, 3-2"
W + noise,1.0000350227436887,"[13.0, 9.0, 9.0, 5.0, 9.0, 13.0, 0.0, 0.0, 0.0, 0.0]","3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
W + noise,0.9999989702821303,"[13.0, 9.0, 9.0, 5.0, 9.0, 13.0, 0.0, 0.0, 0.0, 0.0]","3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
W + noise,0.9999957066718413,"[13.0, 9.0, 13.0, 6.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0]","3-2, 2-1, 3-2, 1-2, 0-1"
W + noise,0.9999865016082358,"[13.0, 9.0, 9.0, 5.0, 9.0, 13.0, 0.0, 0.0, 0.0, 0.0]","3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
W + noise,0.9999900006687464,"[13.0, 9.0, 9.0, 5.0, 9.0, 13.0, 0.0, 0.0, 0.0, 0.0]","3-2, 2-1, 2-1, 1-0, 2-1, 3-2"
